"","ID","Age","Gender","Latinx","Race","White_Nss","White_SS","Hardwork_Nss","Hardwork_SS","Unskilled_Nss","Unskilled_SS","Man_Nss","Man_SS","Unemployed_Nss","Unemployed_SS","ErraticHistory_Nss","ErraticHistory_SS"
"157",35,47,2,2,1,2.2,4.2,5.1,4.6,3.4,2.8,3.6,4.7,2.2,2.5,2.4,2.6
"158",242,40,2,2,1,3.1,4.1,4.7,4.7,3.2,3.7,3.6,4.5,3.3,3.5,3.2,3.5
"159",238,37,2,2,1,2.7,4.4,4.2,4.7,4.4,4.2,3.6,4.6,3,2.4,2.9,2.5
"160",20,37,1,2,1,1.6,5,5.8,5.9,1,1,5.4,6,1,1.1,1.2,1.1
"161",111,33,2,1,1,3.1,5.1,3.7,4,3.6,4,4.8,5.4,3.4,3.1,3.4,3.1
"162",73,26,1,2,2,2.4,5.1,4.8,3.8,3,2.4,5,4.6,3,3.2,3,2.6
"163",128,23,1,2,1,3.1,4.1,4.9,4.9,3.3,3.6,3.7,4.3,2.4,2.3,2.5,2.3
"164",146,71,2,2,1,3.1,4.8,4.5,5.2,4.4,3.6,3.4,5.3,2.9,2.1,2.7,2
"165",155,28,1,2,1,3.6,3.2,3.7,3.6,2.8,3.4,3.7,3.9,4.6,3.7,3,3.5
"166",103,30,2,2,1,4.1,4.4,4.3,4.2,4,4,3.5,5.2,2.5,2.6,2.6,2.7
"167",179,54,1,2,1,3.5,5.5,4.3,4.6,3,2.3,5.6,6,3.1,2.3,3.2,2.3
"168",226,27,1,2,4,3.7,4.3,3.7,4,3,2.9,3.4,3.6,3.7,3.7,3.7,3.9
"169",9,36,2,2,1,2.9,5.7,3.8,5.8,3.9,1.8,4.7,5.8,3.7,1.5,3.7,1.4
"170",17,62,2,2,1,3.3,4.4,5,5,3.1,2.9,5.9,5.5,2.8,2.9,2.8,2.9
"171",98,34,1,2,2,2.4,4.3,4.1,4.5,4.2,3.4,4.9,4.7,2.2,1.6,3,1.9
"172",72,39,1,2,1,3.1,5.3,4.1,4.4,4.2,4.2,5.7,5.8,3,2.5,3,2.5
"173",25,34,1,1,6,4.6,4.4,4.88888888888889,4.4,4.5,5.1,4.7,4.2,5.3,5.4,5.6,5.3
"174",176,63,2,2,1,3.4,5,5,5,3.2,2.9,4.9,5.8,2.8,2.8,2.8,2.6
"175",167,33,2,1,5,3.5,5.1,4.8,4.8,3.4,4.1,5.3,5.8,2.8,2.7,2.8,2.7
"176",15,30,2,2,4,4,4,4.4,3.7,3.8,3.3,3.3,4.4,3.9,4.2,3.8,3.6
"177",102,30,1,2,1,3.4,5.2,3.4,4.3,4,4.3,3.8,4.3,3.7,3,3.7,3.1
"178",121,27,1,2,1,3.4,4.6,4.5,5,4.1,4.1,4.8,4.7,4.5,4.5,4.4,4.4
"179",67,33,2,2,2,1.8,3.8,4.9,4.7,5.3,4.6,3.3,5.2,2.3,2.1,1.7,2
"180",53,26,1,2,4,2.8,4.8,4,3.6,4.1,3.1,5.1,4.7,3.3,3.1,3.3,3
"181",133,32,2,2,1,3.8,4.1,4.3,3.8,3.8,3.5,4.4,3.9,4.2,3.9,4.2,3.9
"182",166,34,2,1,1,3.3,5.5,5.4,4.9,3.5,3.1,4.5,5.7,3.3,3.1,3.3,3
"183",143,35,1,1,1,4.4,4.8,4.8,4.4,3.4,3.3,4.3,4.1,4.4,3.7,3.8,3.8
"184",69,21,2,2,4,4.2,3.9,4,4.2,2.8,3,5,5,3.3,3.6,3.3,3.6
"185",219,25,1,2,1,1.8,4.2,4.6,4.8,3.9,4.3,4.4,4.6,4.1,3.9,4.1,4.2
"186",85,27,2,2,1,3.6,3.8,3.7,3.7,4,3.9,3.7,3.4,3.2,3.3,3.5,3.1
"187",236,51,1,2,1,2.1,4.5,4.9,3.9,3.5,5.1,5.4,5.4,2.6,3.6,2.9,3.5
"188",246,24,1,2,2,4,4.2,3.8,4.1,3.9,3.7,4.9,4.5,3.1,3.6,3.3,2.9
"189",209,31,2,2,4,4.4,4.7,3.9,3.8,2.8,2.8,5.2,4.9,2.3,2.6,2.5,2.5
"190",116,33,1,2,1,2.5,3.5,4.5,4.4,4.2,4.1,3.8,4.1,3.6,3.6,3.6,3.7
"191",93,41,2,2,1,1.6,3.8,4.9,4.3,2.9,2.9,3.8,5.2,2.6,2.9,2.5,2.9
"192",5,34,1,2,1,3.6,4.8,5,5,2.6,2.1,5.9,5.9,2,2,2,2
"193",216,32,2,1,2,4,4.2,4.4,5,4.9,4.6,4.4,4.2,5.7,5.9,4.2,4.2
"194",43,59,2,2,1,4.6,4.5,4.8,4.5,4.6,4.7,4.1,3.9,4.3,4.4,4.6,4.5
"195",152,35,2,2,1,2.2,3.8,4.1,3.9,4.3,4,2.8,4.6,3.4,2.8,2.6,1.7
"196",169,39,2,2,1,2.6,3.1,5.9,6,4,4.4,4.6,6,3,3,3,3
"197",45,35,1,1,1,3.3,3.8,3.8,3.8,3.9,3.8,3.7,4.2,3.6,3.3,4.1,3.9
"198",3,40,1,2,1,2.7,4.1,4.3,4,3.1,3.7,4.8,4.6,3.1,3.5,3.1,3.4
"199",160,41,2,2,5,3,4.6,4,4.3,4.4,3.4,4.6,4.9,3,2.4,2.8,2.5
"200",114,33,1,2,2,1.7,4.5,5.5,5.2,1.7,2,5.9,6,1.1,1,1.1,1
"201",201,43,2,2,1,3,4.5,4.6,4.6,3.2,3,5.5,5.9,3.2,2.8,3.3,2.9
"202",86,46,1,2,1,1.7,4.2,3.7,3.5,3.8,3.2,5.1,4.8,3.1,2.4,3.1,2.4
"203",88,35,1,2,1,3.4,4.5,4,4,4.7,4.3,4.7,5,3.5,3.3,3.7,3.3
"204",96,28,1,2,1,3.6,4.7,4.3,4.7,4,4.3,4.4,4.6,4,4,4,4
"205",200,37,2,2,1,2.2,4,4.7,4.9,4.6,4.1,3.9,5.2,3.1,3,4,3.7
"206",164,28,1,2,1,3,4.4,4,4,4,4,4.5,4.8,4,4,4,4
"207",51,55,2,1,2,3.7,3.7,4.8,4.9,4.6,4.8,4.6,4.4,5.4,5.2,5.6,5.7
"208",109,42,2,2,1,3.3,4.9,3.5,4.7,3.8,3.6,3.5,4.9,3.2,2.2,4.2,3.9
"209",57,52,1,2,1,2.5,4.1,4.5,4.5,3.9,4,3.2,5.1,3.7,3.3,4,3.6
"210",191,32,2,2,1,2.7,4.2,4.5,4.3,4.4,3.7,4.5,4.6,4.2,3.6,4,3.6
"211",58,64,2,2,1,3.7,5.6,4.8,4.8,4.5,4.4,4.1,5.1,3.8,3.4,3.6,3.4
"212",16,36,2,2,1,3.6,4.1,5,5,2,2,5.9,6,2,2,2,2
"213",122,42,2,2,1,3.7,5.6,4.6,4.7,4.3,4.4,4.5,5.3,3.1,3.2,3.1,3.2
"214",232,32,2,2,2,4.2,4.5,3.6,4.5,4.1,3.8,3.8,3.9,5.4,4.9,4.8,5.3
"215",215,36,2,2,1,2.5,3.8,4,4.3,2.7,2.4,3.9,3.9,2.7,2.4,2.7,2.4
"216",34,30,1,2,1,2.9,4.1,2,4.5,3.2,2.8,2.4,2.2,3,2.8,4.4,2.6
"217",234,58,1,1,1,2.5,3.6,5,5,3.9,3.8,5,5.7,3.9,3.8,3.9,3.8
"218",71,29,1,2,1,4.7,3.5,4.3,3.7,5.1,5.1,3.9,3.4,4.1,4.4,5.6,5.6
"219",120,30,1,2,1,2.8,4.6,4.2,4.3,3,2.4,4.1,4.2,2.4,1.7,2.7,1.7
"220",68,37,1,2,1,3.2,4.8,5.5,5.5,1,1.1,5.3,5.2,1.1,1,1.1,1
"221",145,35,1,2,1,5.1,6,5.7,5.4,4.3,2.6,6,6,2.3,1.6,2.3,1.6
"222",113,43,2,2,1,2.6,4,5,4.9,4,4,3.4,4.3,3,3,3,3
"223",12,50,2,2,1,3.4,5.1,4.5,4.6,3.2,3.1,3.6,5.5,3.4,3.4,3.4,3.3
"224",217,34,1,2,1,3.3,4.8,4,4.2,3.1,2.8,3.6,4.2,3.3,2.5,2.9,2.5
"225",204,35,1,2,1,2.9,3.7,4,4,3.5,3.1,4.8,5,3.5,3.1,3.6,3.1
"226",162,25,1,1,2,2.9,3.6,3.7,4.3,3.4,3.1,3.8,5,2.9,2.9,3.2,2.8
"227",39,50,1,2,1,3.6,4.4,4.2,4.7,2.6,2.5,4.3,4.3,2.7,2.4,2.9,2.8
"228",233,30,1,2,1,4.1,4.4,4.2,4.4,3.6,3.8,3.33333333333333,4.5,3.8,4.5,4.5,3.8
"229",41,44,2,2,5,2.3,3.6,4.5,4.8,3.6,4.2,2.8,4.6,2.7,2.5,2.7,2.6
"230",137,32,2,2,1,4.3,4.8,4.1,4.9,1,1.1,4.8,5.2,1,1.1,1,1.2
"231",153,29,1,2,4,2.3,5.1,4.7,5.2,4.8,5.1,4.1,5.5,4.8,5.1,4.8,5.1
"232",56,53,2,2,1,5.3,4.6,3.8,4.4,3.9,3.9,4.6,4.8,4.7,5.4,4,4.4
"233",141,33,1,2,1,2.1,3.9,3.9,4.4,3.8,4.1,4,4.7,3.1,2.1,3.4,2
"234",229,30,1,2,2,3.3,4.9,4.7,4.5,4.6,4.3,4.1,4.5,5.2,4.8,5.3,5.7
"235",78,43,1,2,1,3.9,5,4.3,4.6,3.9,4.2,4.2,4.8,3.6,3.4,3.5,3.4
"236",183,35,2,2,1,2.5,4.2,3.7,4.2,3.3,2.8,5.4,5.6,3.6,2.9,3.5,3.2
"237",171,28,1,2,2,3.9,3.5,3.6,3.7,4.2,4.2,4.1,4.4,3.4,3.2,4.4,4.1
"238",24,43,1,2,1,3.2,4.8,4.3,4.3,4.8,3.5,3.5,5,3.3,3,3.5,2.8
"239",163,42,2,2,1,2.5,3.3,4.3,4.5,3.7,3.3,3.4,4.8,2.7,2.5,2.7,2.5
"240",74,39,1,2,2,2.6,5.2,4.6,4.5,4.7,3.9,2.9,4.8,2.2,2.3,2.4,2
"241",104,49,2,2,1,3.2,4.8,4.3,4.6,4.5,4.1,4,5.4,4.1,3.2,4.3,3.6
"242",193,44,2,2,4,3.7,5.3,5,5,3.2,3.1,6,6,2.1,2,2.1,2.1
